	episode_key	title	season	sequence_in_season	air_date	title_upper	title_camel	imdb	rank_webvectors_gigaword29	matched_tokens_count_webvectors_gigaword29	unmatched_tokens_count_webvectors_gigaword29	matched_tokens_webvectors_gigaword29	unmatched_tokens_webvectors_gigaword29	score_webvectors_gigaword29	rank_webvectors_enwiki223	matched_tokens_count_webvectors_enwiki223	unmatched_tokens_count_webvectors_enwiki223	matched_tokens_webvectors_enwiki223	unmatched_tokens_webvectors_enwiki223	score_webvectors_enwiki223	rank_glove_6B300d	matched_tokens_count_glove_6B300d	unmatched_tokens_count_glove_6B300d	matched_tokens_glove_6B300d	unmatched_tokens_glove_6B300d	score_glove_6B300d	rank_glove_twitter27B200d	matched_tokens_count_glove_twitter27B200d	unmatched_tokens_count_glove_twitter27B200d	matched_tokens_glove_twitter27B200d	unmatched_tokens_glove_twitter27B200d	score_glove_twitter27B200d	rank_glove_twitter27B100d	matched_tokens_count_glove_twitter27B100d	unmatched_tokens_count_glove_twitter27B100d	matched_tokens_glove_twitter27B100d	unmatched_tokens_glove_twitter27B100d	score_glove_twitter27B100d	rank_glove_42B300d	matched_tokens_count_glove_42B300d	unmatched_tokens_count_glove_42B300d	matched_tokens_glove_42B300d	unmatched_tokens_glove_42B300d	score_glove_42B300d	rank_glove_840B300d	matched_tokens_count_glove_840B300d	unmatched_tokens_count_glove_840B300d	matched_tokens_glove_840B300d	unmatched_tokens_glove_840B300d	score_glove_840B300d	rank_fasttext_wikinews300d1M	matched_tokens_count_fasttext_wikinews300d1M	unmatched_tokens_count_fasttext_wikinews300d1M	matched_tokens_fasttext_wikinews300d1M	unmatched_tokens_fasttext_wikinews300d1M	score_fasttext_wikinews300d1M	rank_fasttext_crawl300d2M	matched_tokens_count_fasttext_crawl300d2M	unmatched_tokens_count_fasttext_crawl300d2M	matched_tokens_fasttext_crawl300d2M	unmatched_tokens_fasttext_crawl300d2M	score_fasttext_crawl300d2M	rank_openai_ada002	matched_tokens_count_openai_ada002	unmatched_tokens_count_openai_ada002	score_openai_ada002
0	101	Encounter at Farpoint	1	1	1987-09-26 0:00:00	ENCOUNTER AT FARPOINT	Encounter At Farpoint	On the maiden mission of the U.S.S. Enterprise (NCC-1701-D), an omnipotent being known as Q challenges the crew to discover the secret of a mysterious base in an advanced and civilized fashion.	34	9	8	maiden_ADJ, mission_NOUN, enterprise_NOUN, crew_VERB, secret_ADJ, mysterious_ADJ, base_NOUN, civilized_ADJ, fashion_NOUN	u_ADJ, ncc_ADJ, omnipotent_NOUN, known_VERB, q_ADJ, challenges_NOUN, discover_ADV, advanced_VERB	85.176927	82	12	5	maiden_ADJ, mission_NOUN, enterprise_NOUN, known_VERB, crew_VERB, discover_ADV, secret_ADJ, mysterious_ADJ, base_NOUN, advanced_VERB, civilized_ADJ, fashion_NOUN	u_ADJ, ncc_ADJ, omnipotent_NOUN, q_ADJ, challenges_NOUN	85.86825	33	17	0	maiden, mission, u, enterprise, ncc, omnipotent, known, q, challenges, crew, discover, secret, mysterious, base, advanced, civilized, fashion		85.840183	91	17	0	maiden, mission, u, enterprise, ncc, omnipotent, known, q, challenges, crew, discover, secret, mysterious, base, advanced, civilized, fashion		93.03958399999999	91	17	0	maiden, mission, u, enterprise, ncc, omnipotent, known, q, challenges, crew, discover, secret, mysterious, base, advanced, civilized, fashion		93.013203	26	17	0	maiden, mission, u, enterprise, ncc, omnipotent, known, q, challenges, crew, discover, secret, mysterious, base, advanced, civilized, fashion		95.11068999999999	22	17	0	maiden, mission, u, enterprise, ncc, omnipotent, known, q, challenges, crew, discover, secret, mysterious, base, advanced, civilized, fashion		91.60548	25	17	0	maiden, mission, u, enterprise, ncc, omnipotent, known, q, challenges, crew, discover, secret, mysterious, base, advanced, civilized, fashion		95.693654	14	17	0	maiden, mission, u, enterprise, ncc, omnipotent, known, q, challenges, crew, discover, secret, mysterious, base, advanced, civilized, fashion		89.99133	1	44	0	92.82645000000001
1	103	The Naked Now	1	2	1987-10-03 0:00:00	THE NAKED NOW	The Naked Now	The crew of the Enterprise is infected with a virus that causes them to behave as though they were intoxicated.	46	5	3	crew_NOUN, enterprise_NOUN, virus_NOUN, behave_VERB, intoxicated_ADJ	infected_VERB, causes_NOUN, though_ADP	79.36911599999999	90	4	4	crew_NOUN, enterprise_NOUN, virus_NOUN, behave_VERB	infected_VERB, causes_NOUN, though_ADP, intoxicated_ADJ	81.187725	72	8	0	crew, enterprise, infected, virus, causes, behave, though, intoxicated		79.87756999999999	105	8	0	crew, enterprise, infected, virus, causes, behave, though, intoxicated		90.44347	130	8	0	crew, enterprise, infected, virus, causes, behave, though, intoxicated		91.746175	89	8	0	crew, enterprise, infected, virus, causes, behave, though, intoxicated		89.73048	85	8	0	crew, enterprise, infected, virus, causes, behave, though, intoxicated		86.85977	42	8	0	crew, enterprise, infected, virus, causes, behave, though, intoxicated		92.5051	57	8	0	crew, enterprise, infected, virus, causes, behave, though, intoxicated		83.74877	12	21	0	90.46439
2	104	Code of Honor	1	3	1987-10-10 0:00:00	CODE OF HONOR	Code Of Honor	When the leader of an alien culture takes a romantic interest in Lt. Yar, he claims her for his own, to the dismay of his own wife, who, in turn, challenges Tasha in a fight to the death.	5	12	4	leader_NOUN, alien_ADJ, culture_NOUN, romantic_ADJ, interest_NOUN, lt_NOUN, yar_NOUN, dismay_VERB, wife_NOUN, turn_NOUN, fight_NOUN, death_NOUN	takes_VERB, claims_NOUN, challenges_VERB, tasha_ADJ	90.188885	11	13	3	leader_NOUN, alien_ADJ, culture_NOUN, takes_VERB, romantic_ADJ, interest_NOUN, lt_NOUN, yar_NOUN, dismay_VERB, wife_NOUN, turn_NOUN, fight_NOUN, death_NOUN	claims_NOUN, challenges_VERB, tasha_ADJ	89.71692300000001	1	16	0	leader, alien, culture, takes, romantic, interest, lt, yar, claims, dismay, wife, turn, challenges, tasha, fight, death		88.33492	2	16	0	leader, alien, culture, takes, romantic, interest, lt, yar, claims, dismay, wife, turn, challenges, tasha, fight, death		95.83018	3	16	0	leader, alien, culture, takes, romantic, interest, lt, yar, claims, dismay, wife, turn, challenges, tasha, fight, death		96.376646	5	16	0	leader, alien, culture, takes, romantic, interest, lt, yar, claims, dismay, wife, turn, challenges, tasha, fight, death		95.65346	9	16	0	leader, alien, culture, takes, romantic, interest, lt, yar, claims, dismay, wife, turn, challenges, tasha, fight, death		92.78295	6	15	1	leader, alien, culture, takes, romantic, interest, lt, yar, claims, dismay, wife, turn, challenges, fight, death	tasha	95.93595	6	16	0	leader, alien, culture, takes, romantic, interest, lt, yar, claims, dismay, wife, turn, challenges, tasha, fight, death		90.994024	7	47	0	91.78028
3	107	The Last Outpost	1	4	1987-10-17 0:00:00	THE LAST OUTPOST	The Last Outpost	The Enterprise makes a confrontational first contact with the piratical Ferengi race as their two ships are ensnared by a presumed dead planet ready to judge them.	63	10	6	enterprise_NOUN, confrontational_ADJ, first_ADJ, contact_NOUN, race_NOUN, two_NUM, dead_ADJ, planet_NOUN, ready_ADJ, judge_NOUN	makes_VERB, piratical_ADJ, ferengi_NOUN, ships_NOUN, ensnared_VERB, presumed_VERB	91.028154	17	13	3	enterprise_NOUN, makes_VERB, confrontational_ADJ, first_ADJ, contact_NOUN, piratical_ADJ, race_NOUN, two_NUM, ships_NOUN, dead_ADJ, planet_NOUN, ready_ADJ, judge_NOUN	ferengi_NOUN, ensnared_VERB, presumed_VERB	90.98855	8	16	0	enterprise, makes, confrontational, first, contact, piratical, ferengi, race, two, ships, ensnared, presumed, dead, planet, ready, judge		89.24012	18	15	1	enterprise, makes, confrontational, first, contact, ferengi, race, two, ships, ensnared, presumed, dead, planet, ready, judge	piratical	95.43278	16	15	1	enterprise, makes, confrontational, first, contact, ferengi, race, two, ships, ensnared, presumed, dead, planet, ready, judge	piratical	96.25915	5	16	0	enterprise, makes, confrontational, first, contact, piratical, ferengi, race, two, ships, ensnared, presumed, dead, planet, ready, judge		96.05733	7	16	0	enterprise, makes, confrontational, first, contact, piratical, ferengi, race, two, ships, ensnared, presumed, dead, planet, ready, judge		93.00668	8	15	1	enterprise, makes, confrontational, first, contact, piratical, race, two, ships, ensnared, presumed, dead, planet, ready, judge	ferengi	96.3712	1	16	0	enterprise, makes, confrontational, first, contact, piratical, ferengi, race, two, ships, ensnared, presumed, dead, planet, ready, judge		92.55957000000001	2	34	0	93.03373
4	106	Where No One Has Gone Before	1	5	1987-10-24 0:00:00	WHERE NO ONE HAS GONE BEFORE	Where No One Has Gone Before	Everyone accurately pegs a visiting propulsion scientist as a charlatan, but only Wesley Crusher recognizes his alien assistant as the real deal.	62	10	4	everyone_NOUN, accurately_ADV, propulsion_NOUN, scientist_NOUN, charlatan_NOUN, crusher_NOUN, alien_ADJ, assistant_ADJ, real_ADJ, deal_NOUN	pegs_ADJ, visiting_VERB, wesley_NOUN, recognizes_VERB	87.01704	8	10	4	accurately_ADV, propulsion_NOUN, scientist_NOUN, charlatan_NOUN, wesley_NOUN, crusher_NOUN, alien_ADJ, assistant_ADJ, real_ADJ, deal_NOUN	everyone_NOUN, pegs_ADJ, visiting_VERB, recognizes_VERB	86.31537999999999	6	14	0	everyone, accurately, pegs, visiting, propulsion, scientist, charlatan, wesley, crusher, recognizes, alien, assistant, real, deal		80.22536	92	14	0	everyone, accurately, pegs, visiting, propulsion, scientist, charlatan, wesley, crusher, recognizes, alien, assistant, real, deal		90.347266	112	14	0	everyone, accurately, pegs, visiting, propulsion, scientist, charlatan, wesley, crusher, recognizes, alien, assistant, real, deal		90.71919000000001	4	14	0	everyone, accurately, pegs, visiting, propulsion, scientist, charlatan, wesley, crusher, recognizes, alien, assistant, real, deal		93.85527	8	14	0	everyone, accurately, pegs, visiting, propulsion, scientist, charlatan, wesley, crusher, recognizes, alien, assistant, real, deal		89.802974	40	14	0	everyone, accurately, pegs, visiting, propulsion, scientist, charlatan, wesley, crusher, recognizes, alien, assistant, real, deal		95.05428	24	14	0	everyone, accurately, pegs, visiting, propulsion, scientist, charlatan, wesley, crusher, recognizes, alien, assistant, real, deal		89.314973	18	27	0	91.68735
5	108	Lonely Among Us	1	6	1987-10-31 0:00:00	LONELY AMONG US	Lonely Among Us	While distracted by two antithetical races applying for Federation membership, the Enterprise picks up a sentient entity that can alternately possess either man or machinery.	89	11	5	two_NUM, antithetical_ADJ, races_NOUN, federation_NOUN, membership_NOUN, enterprise_NOUN, sentient_ADJ, entity_NOUN, alternately_ADV, man_NOUN, machinery_NOUN	distracted_VERB, applying_VERB, picks_VERB, possess_ADJ, either_CONJ	84.099185	84	11	5	two_NUM, antithetical_ADJ, federation_NOUN, membership_NOUN, enterprise_NOUN, sentient_ADJ, entity_NOUN, alternately_ADV, possess_ADJ, man_NOUN, machinery_NOUN	distracted_VERB, races_NOUN, applying_VERB, picks_VERB, either_CONJ	85.41257399999999	113	16	0	distracted, two, antithetical, races, applying, federation, membership, enterprise, picks, sentient, entity, alternately, possess, either, man, machinery		82.889444	66	15	1	distracted, two, races, applying, federation, membership, enterprise, picks, sentient, entity, alternately, possess, either, man, machinery	antithetical	91.636944	58	15	1	distracted, two, races, applying, federation, membership, enterprise, picks, sentient, entity, alternately, possess, either, man, machinery	antithetical	92.02552	99	16	0	distracted, two, antithetical, races, applying, federation, membership, enterprise, picks, sentient, entity, alternately, possess, either, man, machinery		93.687665	72	16	0	distracted, two, antithetical, races, applying, federation, membership, enterprise, picks, sentient, entity, alternately, possess, either, man, machinery		90.52536	74	16	0	distracted, two, antithetical, races, applying, federation, membership, enterprise, picks, sentient, entity, alternately, possess, either, man, machinery		95.089555	78	16	0	distracted, two, antithetical, races, applying, federation, membership, enterprise, picks, sentient, entity, alternately, possess, either, man, machinery		87.376857	2	30	0	92.601186
6	109	Justice	1	7	1987-11-07 0:00:00	JUSTICE	Justice	On an alien planet, young Wesley Crusher commits a transgression - small by our standards but mandatorily punishable by death in theirs.	19	7	5	alien_ADJ, planet_NOUN, young_ADJ, crusher_NOUN, small_ADJ, punishable_ADJ, death_NOUN	wesley_NOUN, commits_NOUN, transgression_VERB, standards_NOUN, mandatorily_ADV	83.92438	2	9	3	alien_ADJ, planet_NOUN, young_ADJ, wesley_NOUN, crusher_NOUN, small_ADJ, standards_NOUN, punishable_ADJ, death_NOUN	commits_NOUN, transgression_VERB, mandatorily_ADV	86.564016	4	12	0	alien, planet, young, wesley, crusher, commits, transgression, small, standards, mandatorily, punishable, death		74.375004	23	11	1	alien, planet, young, wesley, crusher, commits, transgression, small, standards, punishable, death	mandatorily	89.07932	75	11	1	alien, planet, young, wesley, crusher, commits, transgression, small, standards, punishable, death	mandatorily	89.01084999999999	2	12	0	alien, planet, young, wesley, crusher, commits, transgression, small, standards, mandatorily, punishable, death		90.02447000000001	14	12	0	alien, planet, young, wesley, crusher, commits, transgression, small, standards, mandatorily, punishable, death		83.99335	11	12	0	alien, planet, young, wesley, crusher, commits, transgression, small, standards, mandatorily, punishable, death		92.499137	8	12	0	alien, planet, young, wesley, crusher, commits, transgression, small, standards, mandatorily, punishable, death		85.29593	3	27	0	92.47741
7	110	The Battle	1	8	1987-11-14 0:00:00	THE BATTLE	The Battle	Beware Ferengi bearing gifts. Capt. Picard receives the Stargazer, a ship considered lost that he once commanded.	2	3	9	beware_NOUN, bearing_NOUN, ship_NOUN	ferengi_ADJ, gifts_NOUN, capt_VERB, picard_ADJ, receives_NOUN, stargazer_VERB, considered_VERB, lost_VERB, commanded_ADJ	78.665245	1	6	6	beware_NOUN, bearing_NOUN, capt_VERB, ship_NOUN, lost_VERB, commanded_ADJ	ferengi_ADJ, gifts_NOUN, picard_ADJ, receives_NOUN, stargazer_VERB, considered_VERB	81.66876400000001	1	12	0	beware, ferengi, bearing, gifts, capt, picard, receives, stargazer, ship, considered, lost, commanded		74.36532	4	12	0	beware, ferengi, bearing, gifts, capt, picard, receives, stargazer, ship, considered, lost, commanded		88.065326	8	12	0	beware, ferengi, bearing, gifts, capt, picard, receives, stargazer, ship, considered, lost, commanded		88.36136	1	12	0	beware, ferengi, bearing, gifts, capt, picard, receives, stargazer, ship, considered, lost, commanded		91.095066	1	12	0	beware, ferengi, bearing, gifts, capt, picard, receives, stargazer, ship, considered, lost, commanded		84.22633400000001	1	11	1	beware, bearing, gifts, capt, picard, receives, stargazer, ship, considered, lost, commanded	ferengi	93.16148	1	12	0	beware, ferengi, bearing, gifts, capt, picard, receives, stargazer, ship, considered, lost, commanded		89.82253	1	27	0	93.469024
8	111	Hide and Q	1	9	1987-11-21 0:00:00	HIDE AND Q	Hide And Q	The Enterprise encounters Q again, and he tempts Riker by endowing him with the powers of the Q.	145	1	7	enterprise_NOUN	encounters_NOUN, q_VERB, tempts_NOUN, riker_VERB, endowing_VERB, powers_NOUN, q_VERB	65.680087	121	1	7	enterprise_NOUN	encounters_NOUN, q_VERB, tempts_NOUN, riker_VERB, endowing_VERB, powers_NOUN, q_VERB	65.660304	1	8	0	enterprise, encounters, q, tempts, riker, endowing, powers, q		65.41377299999999	1	7	1	enterprise, encounters, q, tempts, riker, powers, q	endowing	78.601325	5	7	1	enterprise, encounters, q, tempts, riker, powers, q	endowing	78.18184000000001	2	8	0	enterprise, encounters, q, tempts, riker, endowing, powers, q		84.740984	1	8	0	enterprise, encounters, q, tempts, riker, endowing, powers, q		74.16672	2	7	1	enterprise, encounters, q, tempts, endowing, powers, q	riker	88.61522699999999	1	8	0	enterprise, encounters, q, tempts, riker, endowing, powers, q		84.060216	1	23	0	91.852164
9	105	Haven	1	10	1987-11-28 0:00:00	HAVEN	Haven	While on a mission to a planet called Haven, Counselor Troi meets her husband to be, a marriage arranged by her father years before, as the Enterprise encounters a ship far deadlier than any combat could provide.	148	10	9	mission_NOUN, planet_NOUN, counselor_NOUN, husband_VERB, marriage_NOUN, ship_VERB, far_ADV, deadlier_ADJ, combat_NOUN, provide_VERB	called_VERB, troi_NOUN, meets_NOUN, arranged_VERB, father_NUM, years_NOUN, enterprise_VERB, encounters_NOUN, could_VERB	85.26191	31	13	6	mission_NOUN, planet_NOUN, counselor_NOUN, troi_NOUN, meets_NOUN, husband_VERB, marriage_NOUN, years_NOUN, enterprise_VERB, ship_VERB, far_ADV, combat_NOUN, provide_VERB	called_VERB, arranged_VERB, father_NUM, encounters_NOUN, deadlier_ADJ, could_VERB	88.85064	25	19	0	mission, planet, called, counselor, troi, meets, husband, marriage, arranged, father, years, enterprise, encounters, ship, far, deadlier, combat, could, provide		90.40255	48	19	0	mission, planet, called, counselor, troi, meets, husband, marriage, arranged, father, years, enterprise, encounters, ship, far, deadlier, combat, could, provide		95.004904	63	19	0	mission, planet, called, counselor, troi, meets, husband, marriage, arranged, father, years, enterprise, encounters, ship, far, deadlier, combat, could, provide		95.45708	19	19	0	mission, planet, called, counselor, troi, meets, husband, marriage, arranged, father, years, enterprise, encounters, ship, far, deadlier, combat, could, provide		96.229374	18	19	0	mission, planet, called, counselor, troi, meets, husband, marriage, arranged, father, years, enterprise, encounters, ship, far, deadlier, combat, could, provide		93.21669	24	19	0	mission, planet, called, counselor, troi, meets, husband, marriage, arranged, father, years, enterprise, encounters, ship, far, deadlier, combat, could, provide		96.14855	3	19	0	mission, planet, called, counselor, troi, meets, husband, marriage, arranged, father, years, enterprise, encounters, ship, far, deadlier, combat, could, provide		90.690935	1	44	0	93.60975
